NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Cooper MDA923,43.0,29000.0,1.1,40.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear QJR146,41.0,32000.0,1.9,25.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper WUL772,38.0,17000.0,0.9,25.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita DQY621,37.0,36000.0,1.75,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Worx NHC752,35.0,39000.0,1.85,35.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Bear SKX358,38.0,34000.0,1.35,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Champion FGO862,36.0,34000.0,1.85,50.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper YFV836,30.0,32000.0,1.6,35.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf QEU741,43.0,32000.0,1.55,65.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx HIQ419,44.0,42000.0,0.85,50.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez BJO359,42.0,37000.0,1.05,70.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear QPY175,42.0,39000.0,1.85,40.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear IPT653,31.0,44000.0,1.1,30.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez JEM442,,48000.0,1.7,55.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch LGF335,44.0,34000.0,0.85,35.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper OEK418,40.0,41000.0,1.15,30.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper WJN287,39.0,14000.0,1.65,75.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez OXU651,44.0,28000.0,1.3,75.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez PSH522,30.0,35000.0,1.95,35.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez QEL514,,20000.0,1.85,65.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch GZH365,32.0,42000.0,1.45,35.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez EZA685,32.0,22000.0,1.0,35.0,600.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez UBO998,35.0,23000.0,1.35,30.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf KML521,38.0,29000.0,1.55,40.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper NVI596,33.0,30000.0,1.25,50.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf CHT956,44.0,9000.0,1.6,25.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper ZQT264,30.0,27000.0,0.95,30.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx XQM218,40.0,46000.0,1.5,65.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez GXE398,43.0,42000.0,1.1,70.0,,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez VUI425,34.0,46000.0,1.1,25.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx ZTQ945,31.0,18000.0,1.9,35.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf OYN542,33.0,34000.0,1.2,55.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch KAK793,43.0,12000.0,1.35,60.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita FKP397,36.0,15000.0,1.95,60.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez ART369,40.0,34000.0,1.7,,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf MGI237,42.0,41000.0,1.35,75.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear SQT513,34.0,14000.0,1.7,35.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch AZG923,44.0,42000.0,1.85,50.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion NOP989,,18000.0,1.9,65.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Champion AUW414,33.0,49000.0,1.2,60.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch ZFQ842,31.0,22000.0,0.8,50.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Nakita TXN659,43.0,22000.0,1.8,70.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita WMR213,42.0,837020.0,1.3,60.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita IOW615,33.0,22000.0,1.3,60.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx CLU191,,27000.0,1.85,25.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf ASA362,34.0,42000.0,1.75,65.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf IEO899,32.0,9000.0,1.9,35.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez PFC629,,17000.0,1.1,50.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez KLM958,32.0,35000.0,1.7,75.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch GJO387,41.0,41000.0,1.9,75.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch QOT118,42.0,38000.0,1.1,60.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf XKC433,43.0,9000.0,1.15,35.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch PGT121,34.0,738021.0,1.85,70.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx QJR621,40.0,9000.0,1.3,50.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf MAQ489,43.0,17000.0,1.15,50.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita PSE436,37.0,20000.0,1.95,35.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear AQY837,34.0,10000.0,1.85,35.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper KHY572,,46000.0,1.9,70.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Worx QXE455,43.0,40000.0,0.95,40.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion ZXC536,39.0,356963.0,1.7,50.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez LJN425,34.0,14000.0,1.5,30.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Bear QOO641,37.0,27000.0,1.7,40.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear WKA678,44.0,13000.0,1.75,50.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear EFU232,34.0,34000.0,1.95,70.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper COE799,43.0,12000.0,1.35,35.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear LQP964,30.0,,1.45,35.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez VYP122,,24000.0,1.3,65.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Gardez PGG136,38.0,35000.0,1.65,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper LSH196,44.0,28000.0,1.15,40.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch HCB185,44.0,17000.0,1.4,75.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx YPB778,37.0,45000.0,0.8,35.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita OJI182,36.0,47000.0,1.45,60.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Champion GMZ956,,37000.0,0.85,25.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Champion DMF188,42.0,38000.0,1.85,50.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez QPF147,36.0,48000.0,1.4,30.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita CXZ753,42.0,14000.0,1.65,25.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear LAQ718,30.0,26000.0,1.95,,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper TNU893,42.0,49000.0,1.0,75.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez PDT592,43.0,14000.0,1.25,50.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion ZEQ969,35.0,8000.0,1.2,75.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez KZZ426,42.0,46000.0,0.85,55.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita MTD218,35.0,10000.0,1.25,50.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch DIH247,42.0,11000.0,0.85,55.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear HDS774,34.0,9000.0,1.8,75.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Champion HFL463,32.0,14000.0,1.95,55.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx KGO499,30.0,23000.0,1.4,30.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez GHR472,41.0,15000.0,1.1,65.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf MAA534,34.0,34000.0,1.05,25.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf AAA519,43.0,23000.0,1.55,30.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear FVO638,39.0,28000.0,1.8,30.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Worx NSB384,35.0,24000.0,1.55,45.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez AEY126,34.0,16000.0,0.95,30.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch EPW587,32.0,39000.0,1.05,55.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf VPB385,32.0,39000.0,1.5,55.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez MDK953,41.0,49000.0,1.1,25.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx RCX384,34.0,9000.0,1.45,70.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez IOV222,33.0,38000.0,1.85,30.0,600.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf SXU481,,23000.0,0.8,40.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch RPE925,44.0,20000.0,0.8,30.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch CMR693,31.0,28000.0,0.85,65.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper FYI788,,15000.0,1.1,55.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper EKC585,34.0,30000.0,1.5,45.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez XLL862,33.0,648996.0,0.75,60.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf XJX344,,39000.0,1.8,30.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch RLF211,30.0,31000.0,1.7,75.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez PFU528,41.0,12000.0,1.95,40.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx XKJ949,,41000.0,1.85,,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx AGZ142,44.0,45000.0,1.75,70.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx DOD436,36.0,47000.0,0.8,35.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch DAH215,32.0,35000.0,1.4,35.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Bear DKA516,33.0,11000.0,1.25,35.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Gardez WKX768,41.0,23000.0,1.7,65.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch ZOX811,,35000.0,1.6,45.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear DZJ276,40.0,10000.0,1.25,75.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear MLI313,38.0,12000.0,1.5,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Champion XEI186,35.0,26000.0,1.3,45.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf NAF225,39.0,23000.0,1.0,30.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch QLW485,33.0,14000.0,1.65,60.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Champion UNH826,39.0,21000.0,1.1,40.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf KCC733,37.0,45000.0,1.9,60.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf KZL112,44.0,26000.0,1.45,40.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper GLM732,41.0,41000.0,1.25,50.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx OTJ172,40.0,32000.0,1.0,45.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita EWQ842,44.0,23000.0,1.8,50.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf LXO472,,18000.0,0.95,60.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear ZPD622,40.0,43000.0,0.8,30.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Worx CAQ815,,35000.0,1.2,60.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf ZZO931,41.0,20000.0,1.7,55.0,,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion FAB778,44.0,28000.0,1.9,50.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita KNY784,30.0,820348.0,0.75,60.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf ZNH162,43.0,16000.0,0.85,70.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion AKN494,34.0,38000.0,1.05,45.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Champion SLI533,41.0,15000.0,1.0,40.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf YXQ291,32.0,22000.0,,25.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf XPA632,,10000.0,0.75,25.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx EVD657,30.0,28000.0,1.25,25.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch RWF786,37.0,48000.0,1.45,35.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf KTK364,35.0,33000.0,0.85,25.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf FRE357,38.0,43000.0,0.8,50.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita MPC548,32.0,18000.0,1.65,55.0,250.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Cooper BUW121,30.0,8000.0,1.4,75.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx XIK564,36.0,14000.0,1.35,40.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch DAA454,30.0,22000.0,1.5,55.0,400.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf XKG289,42.0,11000.0,1.05,25.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch YRE851,38.0,9000.0,0.9,70.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper ZNA784,30.0,24000.0,0.95,45.0,300.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx EHI185,36.0,16000.0,0.8,70.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear INN142,34.0,24000.0,1.9,65.0,450.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Boch WXU387,30.0,10000.0,1.75,45.0,200.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Worx SCA547,,22000.0,0.8,35.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Boch ZPL569,43.0,19000.0,1.85,65.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx GPQ236,37.0,48000.0,1.25,50.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Cooper LBL841,33.0,22000.0,1.75,65.0,350.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Champion NVJ593,40.0,34000.0,0.75,30.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Worx JBB648,30.0,26000.0,1.15,55.0,550.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Wolf VII832,33.0,10000.0,1.55,45.0,500.0,Газонокосилка с узкой шириной скашиваемой полосы идеально подходит для маленьких газонов.
Bear WZO723,37.0,514351.0,0.95,,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Bear UFL112,38.0,43000.0,1.6,70.0,,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Nakita QFV354,38.0,17000.0,1.65,50.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Worx AFV778,36.0,37000.0,1.75,65.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
Wolf SEP269,41.0,43000.0,0.9,75.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch JNL198,40.0,42000.0,1.7,45.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке делает ее идеальной для поддержания газона среднего размера.
